probe_row,val_clean_index,sentence,phonemes
253,253,WHEN IT COMES TO THE ISSUE OF EQUAL MARRIAGE,W EH N IH T K AH M Z T UW DH AH IH SH UW AH V IY K W AH L M EH R IH JH
254,254,AND SHE WAS BEING INTERVIEWED BY THE AMERICAN JOURNALISTS,AH N D SH IY W AA Z B IY IH NG IH N T ER V Y UW D B AY DH AH AH M EH R AH K AH N JH ER N AH L AH S T S
255,255,AND IT'S PERFECT FOR TONIGHT,AH N D IH T EH S P ER F EH K T F AO R T AH N AY T
256,256,ALL MY FINGERS WERE HANGING OFF,AO L M AY F IH NG G ER Z W ER HH AE NG IH NG AO F
257,257,IT WAS A BRUTAL EXPERIENCE,IH T W AA Z AH B R UW T AH L IH K S P IH R IY AH N S
258,258,IT SOUNDS WRONG,IH T S AW N D Z R AO NG
259,259,GET DOWN TO YOUR LOCAL ONE,G EH T D AW N T UW Y AO R L OW K AH L W AH N
260,260,IN EXACT DETAIL,IH N IH G Z AE K T D IH T EY L
261,261,AND THE MAN WHO MADE THE DISCOVERY,AH N D DH AH M AE N HH UW M EY D DH AH D IH S K AH V ER IY
262,262,BUT THESE ARE ONE OF THE MOST WARY BIRDS IN THE WORLD,B AH T DH IY Z AA R W AH N AH V DH AH M OW S T W EH R IY B ER D Z IH N DH AH W ER L D
263,263,AND THE WEATHER HAS BEEN PERFECT,AH N D DH AH W EH DH ER HH AE Z B IH N P ER F EH K T
264,264,HE WAS SHOT AND KILLED,HH IY W AA Z SH AA T AH N D K IH L D
265,265,SO WHEN THE BODY IS BROUGHT BACK,S OW W EH N DH AH B AA D IY IH Z B R AO T B AE K
266,266,RISING ABOVE IT,R AY Z IH NG AH B AH V IH T
267,267,IN THE BASEMENT,IH N DH AH B EY S M AH N T
268,268,SOMETHING LIKE A GARDEN COMPOST,S AH M TH IH NG L AY K AH G AA R D AH N K AA M P OW S T
269,269,BUYING A NEW BUILD PROPERTY SHOULD MEAN YOU DON'T HAVE ANY WORK TO DO,B AY IH NG AH N UW B IH L D P R AA P ER T IY SH UH D M IY N Y UW D UW EH N T AY HH AE V EH N IY W ER K T UW D UW
270,270,BORN INTO A FAMILY OF DANCERS,B AO R N IH N T UW AH F AE M AH L IY AH V D AE N S ER Z
271,271,WELCOME TO THE TOWER,W EH L K AH M T UW DH AH T AW ER
272,272,THE PERFECT FAMILY,DH AH P ER F EH K T F AE M AH L IY
273,273,HE WAS ABOUT TO FIND OUT,HH IY W AA Z AH B AW T T UW F AY N D AW T
274,274,EVERY SINGLE PERSON,EH V ER IY S IH NG G AH L P ER S AH N
275,275,THERE IS A HUGE CROSSOVER BETWEEN THE TWO,DH EH R IH Z AH HH Y UW JH K R AO S OW V ER B IH T W IY N DH AH T UW
276,276,I'LL MEET YOU AT THE PARTY,AY ' L EH L M IY T Y UW AE T DH AH P AA R T IY
277,277,THIS IS A SEMIFINAL,DH IH S IH Z AH S EH M IY F AY N AH L
278,278,IT WON'T TAKE A MOMENT,IH T W OW EH N T AY T EY K AH M OW M AH N T
279,279,AND IT WAS BUILT TOTALLY BY PUBLIC SUBSCRIPTION,AH N D IH T W AA Z B IH L T T OW T AH L IY B AY P AH B L IH K S AH B S K R IH P SH AH N
280,280,AND PEOPLE LIVING,AH N D P IY P AH L L IH V IH NG
281,281,HE DOESN'T OWN ME,HH IY D AH Z EH N T AY OW N M IY
282,282,BUT IN THOSE DAYS,B AH T IH N DH OW Z D EY Z
283,283,HE'S JAPANESE MADE,HH IY EH S JH AE P AH N IY Z M EY D
284,284,WHAT HAVE YOU LEARNED,W AH T HH AE V Y UW L ER N D
285,285,I'M SORRY THAT DOESN'T MEET WITH YOUR APPROVAL,AY AH M S AA R IY DH AE T D AH Z EH N T AY M IY T W IH DH Y AO R AH P R UW V AH L
286,286,IT SEEMED TO BE,IH T S IY M D T UW B IY
287,287,HE ORDERED THEM BACK INSIDE,HH IY AO R D ER D DH EH M B AE K IH N S AY D
288,288,THAT'S QUITE A LARGE LEAF,DH AE T EH S K W AY T AH L AA R JH L IY F
289,289,THERE IS NO AIR SO THERE IS NO SOUND,DH EH R IH Z N OW EH R S OW DH EH R IH Z N OW S AW N D
290,290,TODAY'S CONTESTANTS ARE,T AH D EY EH S K AH N T EH S T AH N T S AA R
291,291,WE MIGHT FIND SOME MARITIME MEMORABILIA,W IY M AY T F AY N D S AH M M EH R AH T AY M M EH M ER AH B IY L Y AH
292,292,ESPECIALLY AS IT RELATES TO CHILDREN,AH S P EH SH L IY AE Z IH T R IH L EY T S T UW CH IH L D R AH N
293,293,SO WONDERFUL TO SEE THAT,S OW W AH N D ER F AH L T UW S IY DH AE T
294,294,THAT I'LL BE OK,DH AE T AY ' L EH L B IY OW K EY
295,295,THERE'S NO OBVIOUS REASON,DH EH R EH S N OW AA B V IY AH S R IY Z AH N
296,296,AS WELL AS THE GREEN MAN,AE Z W EH L AE Z DH AH G R IY N M AE N
297,297,BUT SHE'S NOT CONFUSED,B AH T SH IY EH S N AA T K AH N F Y UW Z D
298,298,IT REALLY WAS THAT BAD,IH T R IH L IY W AA Z DH AE T B AE D
299,299,AND FOR ME THE SURPRISE WAS,AH N D F AO R M IY DH AH S ER P R AY Z W AA Z
