target,phonemes_clean,phonemes_substitute_5pct,phonemes_substitute_10pct,phonemes_substitute_20pct,phonemes_delete_5pct,phonemes_delete_10pct,phonemes_delete_20pct,phonemes_insert_5pct,phonemes_insert_10pct,phonemes_insert_20pct
PEOPLE ARE HAPPY TO BE THERE AND IT'S A GOOD VIBE,P IY P AH L AA R HH AE P IY T UW B IY DH EH R AH N D IH T EH S AH G UH D V AY B,P IY P AH L AA R HH AE P IY T UW B IY DH EH EY AH N D IH T EH S AW G UH D V AY B,P IY P AH L AA R HH AE V IY T DH B IY DH EH R AH N D IH T UW S AH G UH D V AY B,P IY P AH L AA OW HH IH P IY T UW B IY DH EH R AH N L CH JH EH S AH G UH D G AY B,P IY P AH L AA R HH AE P IY T UW B IY DH R AH N D IH EH S AH G UH D V AY B,P IY P AH L AA R HH AE P T UW B IY DH EH R AH N D IH T EH AH G UH D AY B,P IY P AH L AA HH AE P IY T UW B IY DH R AH IH T EH S AH UH D V AY,P IY P AH L AA R HH AE P IY T UW B IY DH EH EY R AH N D IH T EH S AO AH G UH D V AY B,P IY P AH L AA R HH AE UH P IY T UW UW B IY DH EH R AH N D IH T DH EH S AH G UH D V AY B,P IY P AH L AA JH R HH CH AE P IY T UW B IY DH EH R AH N OW D HH IH G T EH S AH G UH D K V AY B
IT'S NOT AS EASY AS IT LOOKS,IH T EH S N AA T AE Z IY Z IY AE Z IH T L UH K S,IH T EH S N AA T AE Z IY Z IY AE Z IH T L UH L S,TH T EH S N AA T AE Z IY AA IY AE Z IH T L UH K S,AO T AY S N AA T AE Z IY W IY AE Z SH T L UH K S,IH EH S N AA T AE Z IY Z IY AE Z IH T L UH K S,IH T EH S N AA T AE IY Z IY AE Z IH T L K S,IH T EH S T AE Z IY Z AE Z IH T UH K S,IH T EH S N AA T AE Z IY Z IY AE Z IH T L UH K K S,AA IH T EH S N AA T AE Z IY T Z IY AE Z IH T L UH K S,AY IH T W EH S N AA T AE Z IY ZH Z IY AE Z S IH T L UH K S
HAROLD IN NEIGHBOURS,HH EH R AH L D IH N N EY B ER Z,HH EH R TH L D IH N N EY B ER Z,HH NG R AH L D IH N N EY B ER Z,HH EH R D L D IH N HH EY B ER M,HH EH R AH L D IH N N EY B Z,HH EH R L D IH N N EY B ER Z,EH R AH L IH N N B ER Z,HH EH R T AH L D IH N N EY B ER Z,HH N EH R AH L D IH N N EY B ER Z,HH CH EH R HH AH L D IH N TH N EY B ER Z
WE HAVE RUN OUT OF TIME,W IY HH AE V R AH N AW T AH V T AY M,W IY HH AE V R SH N AW T AH V T AY M,W IY HH AE V R AH N AW T AH V T HH JH,W JH HH EH V R AH N AW T AH V T AY NG,W IY HH AE V R AH AW T AH V T AY M,W IY HH AE V AH N AW T V T AY M,HH AE V R AH AW T AH V T AY M,W IY HH AE V R S AH N AW T AH V T AY M,W IY HH AE V R AH N AW T AH V T G AY JH M,W IY IY HH AE V N R AH N AW T AH V T AY G M
NOT TO THINK FOR THEMSELVES,N AA T T UW TH IH NG K F AO R DH EH M S EH L V Z,N AA T T HH TH IH NG K F AO R DH EH M S EH L V Z,N Y T T UW TH IH AW K F AO R DH EH M S EH L V Z,N AA T T UW TH IH NG K K AO R DH EH ' S AY W V Z,N AA T T UW TH IH NG K F AO R DH EH M S EH V Z,N T T UW TH IH K F AO R DH EH M S EH L V Z,N T T UW TH IH K AO DH EH M S EH L V Z,N AA T T HH UW TH IH NG K F AO R DH EH M S EH L V Z,N AW AA T T UW TH IH W NG K F AO R DH EH M S EH L V Z,N AA T T UW V TH IH NG K ' F AO R DH EH UH M S EH ZH L V Z
IT'S THAT SIMPLE,IH T EH S DH AE T S IH M P AH L,IH T HH S DH AE T S IH M P AH L,IH TH EH S DH AE T S IH M P AH L,IH D AY S W AE T S IH M P AH L,IH EH S DH AE T S IH M P AH L,T EH S DH AE T S IH M P AH L,IH EH DH AE T S IH P AH L,IH T G EH S DH AE T S IH M P AH L,IH T T EH S DH AE T S IH M P AH L,IH B T EH S HH DH AE T S IH M CH P AH L
SOME PEOPLE HERE TONIGHT PREFER SUBTITLES,S AH M P IY P AH L HH IY R T AH N AY T P R AH F ER S AH B T AY T AH L Z,S AH M P IY P AH L HH IY R T AH N AY T P HH AH F ER S AH V T AY T AH L Z,S AH CH P IY P AH L HH IY R T AH N AY T P R AH F ER S AH B CH AY V AH L Z,S AH M P IY P TH L EY HH AH T AH N AY T P R AH UH ER S IH B T AY T AH L Z,S AH M P IY P AH L HH IY R T N AY T P R AH F ER S AH B T AY T AH L,S AH M P IY P AH L HH IY T N AY T P R AH F ER S AH B T T AH L Z,S AH P IY P AH L HH IY R T AH N AY P R AH F ER S AH AY AH L,S AH M P IY P AH L HH IY R T AH N AY T P HH R AH F ER S AH UW B T AY T AH L Z,S AH CH M P IY P AH L HH IY R T AH N AY T P R AH F ER S AH B CH T AY UW T AH L Z,S AH M HH P EY IY P AH L L HH IY R T AH N AY T P EY R AH F ER S AH Z B T AY T AH IY L Z
SHE'S GOT THE BEST TOP LINE IN THE BUSINESS,SH IY EH S G AA T DH AH B EH S T T AA P L AY N IH N DH AH B IH Z N AH S,SH IY EH S G AA T DH AH B EH S T T AA P L AY N IH N DH AH Z IH Z N AH S,SH IY EH S G AA T DH AH B EH S T T AA HH L UW N IH N EH AH B IH Z N AH S,W S M S G AA T DH EH B EH S T HH AA P L AY N IH CH DH AH B IH Z N AH S,SH IY S G AA T DH AH B EH S T T AA P L AY N IH N DH AH B IH Z N AH S,SH IY S G AA DH B EH S T T AA P L AY N IH N DH AH B IH Z N AH S,SH IY EH S AA T DH AH B EH S T T AA L N IH N AH B Z AH S,SH IY EH S G AA T DH AH B EH S T T AA P L AY N IH N DH AH Y B IH Z N AH S,SH IY EH S G AA T DH AH B EH S T T AA UH P L HH AY N IH N DH DH AH B IH Z N AH S,SH CH IY L EH S G AA T DH ' AH B EH S T T AA AE P IH L AY N IH P N DH AH B IH Z N AH S
A FLOATING HOTEL,AH F L OW T IH NG HH OW T EH L,AH F L OW T IH Z HH OW T EH L,AH F L OW T IH NG HH OW P EH L,AH F L OW T IH ' HH OW T EH W,AH F L OW T IH NG HH T EH L,AH F L OW T IH NG HH OW EH L,AH F OW T IH NG HH T EH L,AH F L OW T IH Y NG HH OW T EH L,AH F L OW T IH NG HH OW P T EH L,AH F L OW R T IH NG HH OW T DH EH L
GO TO THE PRESS,G OW T UW DH AH P R EH S,G OW T UW DH AH N R EH S,G OW T V DH AH P R EH S,G D T UW DH AH P R EH V,G OW T UW AH P R EH S,G OW T UW DH P R EH S,G OW T UW AH P R S,G OW T UW DH AH N P R EH S,G OW T UW UW DH AH P R EH S,G OW T UW DH AH ' P R V EH S
THIS IS VERY SIMILAR,DH IH S IH Z V EH R IY S IH M AH L ER,DH IH S CH Z V EH R IY S IH M AH L ER,DH IH S IH Z V EH R IY S IH JH EY L ER,Z IH S IH Z D EH R IY S IH M AH W ER,DH IH S IH Z V EH R IY S IH M AH ER,DH IH S Z V EH R IY S M AH L ER,DH IH S IH Z V R IY IH M AH ER,DH IH S CH IH Z V EH R IY S IH M AH L ER,DH IH S IH Z V EH R IY S IH JH M ER AH L ER,DH AE IH S IH Z V EH R IY S IH UW M AH L D ER
SHE'S DEPRESSED ABOUT DADDY,SH IY EH S D IH P R EH S T AH B AW T D AE D IY,SH IY EH S D IH P R EH S T AH B AW T D TH D IY,SH IY EH S D IH P R EH S T UW S AW T D AE D IY,SH N EH S AE IH P R EH EY T AH B NG T D AE D IY,SH IY EH S D IH P R EH S T B AW T D AE D IY,SH IY EH S D IH P R EH S T AH AW T AE D IY,SH IY EH S D IH R EH T AH B AW T D AE,SH IY EH S D IH P R EH S T AH B AW T D T AE D IY,SH IY EH S D IH P R EH S T UH AH R B AW T D AE D IY,SH IY EH S N D IH P R EH S T JH AH B AE AW T D AE CH D IY
PRETTY ON THE OUTSIDE,P R IH T IY AA N DH AH AW T S AY D,P AH IH T IY AA N DH AH AW T S AY D,P R IH T IY AA N B AH AW T S AY D,P R IH M IY AA N DH AH AW AY S AY W,P R IH T IY AA N DH AH T S AY D,P R IH T IY AA N DH AH AW S AY D,P R IH T IY AA DH AH AW S D,P AH R IH T IY AA N DH AH AW T S AY D,P R IH T IY AA N B DH AH AW T S AY D,AY P R IH T IY G AA N DH AH AW T S EY AY D
MAYBE MORE OF STEEL AND IRON,M EY B IY M AO R AH V S T IY L AH N D AY ER N,M EY B D M AO R AH V S T IY L AH N D AY ER N,M EY B IY M AO R AW V S T IY L AH N D AY ER L,M EY B IY P ER R AA V S T IY L ER N D AY ER N,M EY B IY M AO AH V S T IY L AH N D AY ER N,M EY B IY AO R AH V S T IY L AH D AY ER N,M EY B IY M AO R AH V S T L AH D N,M EY B D IY M AO R AH V S T IY L AH N D AY ER N,M EY B IY M AO R L AH V S T IY L AH N D AY ER AO N,M EY B IY OY M AO R AH V S T EH IY L DH AH N D AY G ER N
GET A NEW LOYAL CUSTOMER AND DEBENHAMS,G EH T AH N UW L OY AH L K AH S T AH M ER AH N D D EH B IH N AH M Z,G EH T AH N UW L OY AH L K AH S T AH M ER AH N D EH EH B IH N AH M Z,F EH T AH N UW L OY AH L K AH S T AH M ER G Z D D EH B IH N AH M Z,G EH T AH N UW L T AH L DH AH S NG AH M ER AH N D D AE B IY N B M Z,G EH T AH N UW L OY AH L K AH S T AH M ER AH N D D EH IH N AH M Z,G EH T AH UW L L K AH S T AH M ER AH N D D EH B IH N AH M Z,EH N UW L AH L AH S T AH M ER AH N D D EH B IH N AH Z,G EH T AH N UW L OY AH L K AH S T AH M ER AH N D DH D EH B IH N AH M Z,F G EH T AH N UW L OY AH L K AH S T AH M ER Y AH F N D D EH B IH N AH M Z,AE G EH T AH N NG UW L OY AH L AY K AH S DH T AH M ER AH N D D IH EH B G IH N AH M Z
SO WHAT IS THE ETIQUETTE,S OW W AH T IH Z DH AH EH T AH K AH T,S OW W AH T IH Z DH AH EH T AH R AH T,AH F W AH T IH Z DH AH EH T AH K AH T,S OW W N T IH Z G AH EH T AH K AH JH,S W AH T IH Z DH AH EH T AH K AH T,S OW W AH T IH Z DH EH T K AH T,S OW W T IH Z DH T AH K AH T,S OW W AH T IH Z DH AH EH T AH P K AH T,F S AH OW W AH T IH Z DH AH EH T AH K AH T,S OW W M AH T IH Z S DH AH EH T AH K ER AH T
WHEN IT COMES TO TOYS,W EH N IH T K AH M Z T UW T OY Z,W EH N IH T K AH M Z AO UW T OY Z,W AE N IH T K AH M Z T UW T OY Z,OW EH N ER T K AH M Z T L T OY Z,EH N IH T K AH M Z T UW T OY Z,W EH N IH T K AH M T UW T OY Z,EH N T K AH M Z UW T OY Z,W EH N IH T K AH M Z AO T UW T OY Z,W AE EH N IH T K AH M Z T UW T OY Z,W EH N ER IH AA T K AH M Z T UW T F OY Z
IT'S NOT A CAREER,IH T EH S N AA T AH K ER IH R,IH T EH S N AA NG AH K ER IH R,IH T EH S N AW T AH K ER IH R,IH M EH S IH AA T AH K ER IH R,IH T EH S N AA T AH K ER R,IH T EH S AA T AH K ER IH R,IH EH S N AA T AH K ER R,IH T EH S N AA NG T AH K ER IH R,IH T EH S N AO AA T AH K ER IH R,IH T EH S N AO AA IH T AH K ER IH R
IF YOU DIDN'T HAVE ONE,IH F Y UW D IH D EH N T AY HH AE V W AH N,IH F Y UW D IH D EH N T AY HH AE V UH AH N,IH F Y UW D IH D TH N T AY HH AE V W AH IH,IH F Y UW D IH D EH N T AA HH M V W AH V,IH F Y UW D IH D N T AY HH AE V W AH N,IH F Y UW D IH D EH N T AY HH W AH N,IH Y UW D IH D N T AY HH AE V W AH,IH F Y UW D IH D EH N T AY HH AE V UH W AH N,IH F Y UW D IH D T EH N T AY HH AE V W AH IH N,IH F Y UW D IH D EH UW N T OW AY TH HH AE V W AH N
THE DAY JUST GOT WEIRDER AND WEIRDER,DH AH D EY JH AH S T G AA T W IH R D ER AH N D W IH R D ER,DH AH D EY JH AH S T W AA T W IH R D ER AH N D W IH R D ER,DH AH D EY JH AH CH T G AA T W IH R D ER AH Y D W IH R D ER,DH L D AY JH R S T ZH AA T W IH R D ER AH N N W IH R D ER,DH AH D EY JH AH S T G T W IH R D ER AH N D W IH R D ER,DH AH D EY JH AH S G AA T IH R D ER AH N D W IH R D ER,DH EY JH AH S G AA W IH R D ER N D W IH R D ER,DH AH D EY JH AH S T V G AA T W IH R D ER AH N D W IH R D ER,DH AH D EY JH AH W S T G AA T W IH R D ER AH CH N D W IH R D ER,Z DH AH D AY EY JH AE AH S T HH G AA Y T W IH R D ER AH N D W IH R D ER
WHY DON'T WE ALL JUST GET ALONG,W AY D UW EH N T AY W IY AO L JH AH S T G EH T AH L AO NG,B AY D UW EH N T AY W IY AO L JH AH S T G EH T AH L AO NG,W AY D UW EH N T AY W IY AO L JH AH S SH G EH G AH L AO NG,W AY D AE EH N T AY W IY AO L R Y S T IH EH T EY L AO NG,W AY UW EH N T AY W IY AO L JH AH S T G EH T AH L AO NG,W AY D UW N T AY W IY AO L JH AH S T EH T AH L AO NG,W AY D UW EH N AY IY AO L JH AH S G T AH L NG,B W AY D UW EH N T AY W IY AO L JH AH S T G EH T AH L AO NG,W AY D UW EH N T AY W IY AO L JH AH S SH T G EH G T AH L AO NG,W AY D UW EH N T AY W IY HH AO ER L JH W AH S T NG G EH T B AH L AO NG
A TRIBAL NATION,AH T R AY B AH L N EY SH AH N,AH T R AY B AH L N EY SH V N,AH T R AY B AH ER N EY SH AH N,V T R AY B AH L N ER SH AH N,AH T R B AH L N EY SH AH N,AH T R AY B AH L EY SH AH N,AH T AY B AH L N EY AH N,AH T R AY B AH L N EY SH UW AH N,AH T R AY B AH ER L N EY SH AH N,UH AH T R AY B AH ' L N EY SH AH N
STOCKS AND SHARES,S T AA K S AH N D SH EH R Z,S T AA K L AH N D SH EH R Z,S AY AA K S AH N D SH EH R Z,S T AA K S AW L D SH EH R Z,S AA K S AH N D SH EH R Z,S AA K S AH N D SH EH R Z,S T AA K S AH N SH R Z,S T AA K L S AH N D SH EH R Z,S AY T AA K S AH N D SH EH R Z,S T AA K S AH N D N SH EH ER R Z
WE WOULD LOVE TO SELL IT,W IY W UH D L AH V T UW S EH L IH T,W JH W UH D L AH V T UW S EH L IH T,W IY W UH D L R V T UW M EH L IH T,W IY W UH D JH AH V T B UH EH L IH T,W IY W UH D L V T UW S EH L IH T,IY W UH D L AH V T UW S EH IH T,W IY W D L AH T UW S EH IH T,W IY IY W UH D L AH V T UW S EH L IH T,W IY W UH D L P AH V T UW M S EH L IH T,W K IY W UH D L ZH AH V T UW L S EH L IH T
THAT'S WHAT YOU SAID,DH AE T EH S W AH T Y UW S EH D,DH AE T EH S W EH T Y UW S EH D,DH AE T EH S W SH T Y UW S EH D,DH AE T EH K W JH T Y UW OW EH D,DH AE T EH W AH T Y UW S EH D,DH T EH S W AH T Y UW S EH D,DH AE T S W T Y UW S EH,DH AE T EH S W DH AH T Y UW S EH D,DH AE T EH S W S AH T Y UW S EH D,DH OY AE T EH JH S W AH T Y UW TH S EH D
FREE RANGE GOOD,F R IY R EY N JH G UH D,F R IY R EY N JH ' UH D,AY R IY R EY N JH G UH D,F R P R EY N JH G ER D,F R IY R EY N JH UH D,F R R EY N JH G UH D,F IY R EY N JH G UH,F R IY R EY N JH ' G UH D,AY F R IY R EY N JH G UH D,F R IY R EY V N IY JH G UH D
I'M VERY IMPRESSED,AY AH M V EH R IY IH M P R EH S T,AY AH M V EH R IY IH M P R IH S T,OY AH M V EH R IY IH M P R EH S T,AY AH M V EH R Y IH M P EH EH S JH,AY AH M V EH R IY IH M P EH S T,AY AH M V EH R IY IH M P EH S T,AY AH M V EH IH M P EH S T,AY AH M V EH R IY IH M P R HH EH S T,OW AY AH M V EH R IY IH M P R EH S T,AY AH ZH M EH V EH R NG IY IH M P R EH S T
I HADN'T THOUGHT THAT,AY HH AE D EH N T AY TH AO T DH AE T,AY HH AE D EH N T AY EH AO T DH AE T,AY HH AE D EH N T AY TH AO T M AE T,F HH AE D EH N JH AY IY AO T DH AE T,AY HH AE D EH N T AY TH AO T DH AE,AY HH D EH N T AY TH AO T DH AE T,AY HH AE D EH N TH AO T DH AE,AY HH AE D EH N T AY EH TH AO T DH AE T,AY HH AE D EH N T AY TH AO T L DH AE T,AY HH AE D JH EH N ' T AY TH V AO T DH AE T
WE HEARD THE STORY OF THE NURSE ANNA CROSS,W IY HH ER D DH AH S T AO R IY AH V DH AH N ER S AE N AH K R AO S,W IY HH ER D DH AH S T AO R IY AH V DH AH AY ER S AE N AH K R AO S,W IY HH EY D DH AH V T AO R IY AH V DH AH N ER S AE N AH K R AO ER,W IY HH ER D DH AH S T AO R IY AH K DH AH N ER R S EY AH K R AO SH,W IY HH ER D DH AH S T AO R AH V DH AH N ER S AE N AH K R AO S,W IY HH ER D DH AH S T AO R IY AH DH AH N ER S AE N K R AO,W HH D DH AH S T AO R IY AH V DH AH N ER S AE K AO S,W IY HH ER D DH AH S T AO R IY AH V DH AH AY N ER S AE N AH K R AO S,W IY HH UW ER D DH AH ER S T AO R IY AH V DH AH N ER S AE N AH K R AO ER S,W IY HH ER D DH R AH S T R AO R IY AH S V DH AH N ER K S AE N AH K R AO Z S
IT'S JUST A NAME,IH T EH S JH AH S T AH N EY M,IH T EH S JH AH S T AH N K M,IH T EH S JH AH S CH AH N EY M,IH T EH S JH AH S AW EH N EY M,IH T S JH AH S T AH N EY M,IH T EH S JH AH S T AH EY M,T EH S JH AH T AH N EY M,IH T EH S JH AH S T AH N JH EY M,IH T EH S JH AH S CH T AH N EY M,IH T EH SH S JH AH S T AH N TH EY M
IF YOU HAVEN'T CAUGHT IT YET,IH F Y UW HH AE V EH N T AY K AA T IH T Y EH T,IH F Y UW HH AE V EH N T AY K AA T IH T ZH EH T,IH F Y UW HH SH V EH N T AY K AA IH IH T Y EH T,IH F ER UW HH AE V EH N G G K AA T IH T JH EH T,IH F Y UW HH AE V EH N T AY AA T IH T Y EH T,IH F UW HH AE V EH N T AY K T IH T Y EH T,IH F Y HH AE N T K AA T IH T Y EH T,IH F Y UW HH AE V EH N T AY K AA T IH T Z Y EH T,IH F Y UW HH S AE V EH N T AY K AA IH T IH T Y EH T,IH F F Y UW HH JH AE V EH N G T AW AY K AA T IH T Y EH T
THE AVERAGE COST OF KEEPING A PERSON IN PRISON IS 36,DH AH AE V ER IH JH K AA S T AH V K IY P IH NG AH P ER S AH N IH N P R IH Z AH N IH Z TH ER T IY S IH K S,DH AH AE V ER IH JH K AA DH T AH N K IY P IH NG AH P ER S AH N IH N P R IH Z AH N IH Z TH ER T IY S IH K S,DH AH AE V AH IH JH K AA S T AH V K IY AY IH NG AH P ER S AH N IH N P R V Z AH N IH Z TH ' T IY S IH K S,DH EY OW V HH IH JH K AA Y T AH V K IY TH IH NG AH P ER S AH N IH N ' R IH D OY N IH Z TH ER T IY S IH K S,DH AH AE V ER IH JH K AA S T AH V IY P IH NG AH P ER S N IH N P R IH Z AH N IH Z TH ER T IY S IH K S,DH AH AE V ER IH JH K AA S T AH V K IY P IH NG AH P ER S AH N N P R IH AH N IH TH ER T IY IH K S,DH AH AE V ER IH JH K S T K IY P IH AH P ER S AH N IH N P AH N IH Z ER T IY S IH K S,DH AH AE V ER IH JH K AA DH S T AH N V K IY P IH NG AH P ER S AH N IH N P R IH Z AH N IH Z TH ER T IY S IH K S,DH AH AE V ' ER IH JH K AA S T AH V K IY UW P IH NG AH P ER S AH N IH N P R AH IH Z AH N IH Z TH AY ER T IY S IH K S,DH D AH G AE V OW ER IH JH K AA T S T AH NG V K IY ER P IH NG AH P ER S AH N IH N P R IH W Z OY AH N IH Z TH ER T IY S IH K S
SURRENDER WAS NOT AN OPTION,S ER EH N D ER W AA Z N AA T AE N AA P SH AH N,S ER EH N D ER W AA Z N AA T AE N AA P SH UW N,S ER DH N D ER W P Z N AA T AE N AA P SH AH N,S ER EH UW D W W AO Z N AA T AE SH AA P SH AH N,S ER EH N D ER W AA N AA T AE N AA P SH AH N,S ER EH N D ER W AA N AA T AE N AA P SH N,S ER D ER W Z N AA T AE N P SH AH N,S ER EH N D ER W AA Z N AA T AE N AA P SH UH AH N,S ER OY EH N D ER W DH AA Z N AA T AE N AA P SH AH N,AH S ER EH S N D ER W UH AA Z N AA T AE EH N AA P SH AH N
IT'S A LONG WAY FROM HOME,IH T EH S AH L AO NG W EY F R AH M HH OW M,ZH T EH S AH L AO NG W EY F R AH M HH OW M,IH T EH S AH L AO NG W EY F R AH M HH EY OY,IH T EH SH AH L AO CH W EY F R AH M HH OW UW,IH T S AH L AO NG W EY F R AH M HH OW M,T EH AH L AO NG W EY F R AH M HH OW M,EH S AH L AO NG W EY F R AH M HH OW,Z IH T EH S AH L AO NG W EY F R AH M HH OW M,IH T EH S AH L AO NG W EY F R AH M HH OW OW EY M,IH T EH UH S AH L AO S NG W EY F R AH M HH OW CH M
I HAVE NOTHING TO HIDE,AY HH AE V N AH TH IH NG T UW HH AY D,AY HH AE V N TH TH IH NG T UW HH AY D,EH HH AE V N AH TH IH NG T UW HH AY D,AY HH AE V N R TH IH S UH UW HH AY D,AY HH AE V N AH TH IH NG UW HH AY D,AY HH AE V N AH TH IH NG T HH AY D,AY HH N AH TH IH NG T UW HH D,AY HH AE V N T AH TH IH NG T UW HH AY D,DH AY HH AE V N AH TH IH NG T UW HH AY D,AY HH AE V N TH AH TH IH ZH NG R T UW HH AY D
REAL FRIENDS THAT CARE ABOUT ME,R IY L F R EH N D Z DH AE T K EH R AH B AW T M IY,B IY L F R EH N D Z DH AE T K EH R AH B AW T M IY,HH IY L F R EH N D Z DH AE T OW EH R AH B AW T M IY,R IY L F R HH N D Z DH AE T K EH HH IY B S T M IY,R IY L F R EH N D Z DH AE T K EH R AH B AW T M,R IY L F R EH N D DH AE T K EH R AH B T M IY,R IY L F R EH D Z DH AE T K R B AW T IY,B R IY L F R EH N D Z DH AE T K EH R AH B AW T M IY,HH R IY L F R EH N D Z DH AE T NG K EH R AH B AW T M IY,R IY L F R G EH N D Z DH AE T K HH EH R R AH B SH AW T M IY
JOIN US NEXT TIME FOR MANY MORE SURPRISES,JH OY N AH S N EH K S T T AY M F AO R M EH N IY M AO R S ER P R AY Z IH Z,JH OY N AH S N EH K S T T HH M F AO R M EH N IY M AO R S ER P R AY Z K Z,JH OY N AH S N EH K S T T AY M F W R M EH N IY M AO R S ER R R AY Z JH Z,JH OY N AH S N EH IH S T T AY M F AO IY AO EH N IY G AO R S IY P R AY Z IH R,JH OY N AH S EH K S T T AY M F AO R M N IY M AO R S ER P R AY Z IH Z,JH OY N AH S N EH K S T AY M F AO R M EH N IY AO R S P R AY Z IH Z,JH N AH S EH K S T T AY F AO R M EH N IY M AO R S ER P R Z,JH OY N AH S N EH K S T T G AY M F AO R M EH N IY M AO R S ER P R AY Z JH IH Z,JH OY N AH S N EH K S T T AY M F V AO R M EH N IY M AO R S ER P P R AY Z IY IH Z,JH OY N AH S N EH K IY S T T AY M F AO R AO M EH N IY R M AO R S IH ER P G R T AY Z IH Z
I SHOULDN'T SAY THOSE THINGS,AY SH UH D EH N T AY S EY DH OW Z TH IH NG Z,AY G UH D EH N T AY S EY DH OW Z TH IH NG Z,AY SH UH D JH N T AY S EY DH OW Z TH IH ER Z,AY SH UH D EH N T AY S EY V OW Z TH CH NG AW,AY SH UH D EH N T S EY DH OW Z TH IH NG Z,AY SH UH EH N T AY S DH OW Z TH IH NG Z,SH UH D N T AY S EY DH OW TH IH NG Z,AY G SH UH D EH N T AY S EY DH OW Z TH IH NG Z,AY SH UH D IY EH N T AY S EY DH OW Z TH IH ER NG Z,AY SH UH D EH AW N T UW AY K S EY DH OW Z TH IH NG Z
BUT I COME ACROSS TRAINING PRISONS NOW,B AH T AY K AH M AH K R AO S T R EY N IH NG P R IH Z AH N Z N AW,B AH T AY K AH M AH K R AO S T R EY N IH NG AW R IH Z AH N Z N AW,B AO T AY K AH V AH K R AO S T R EY N IH NG K R IH Z AH N Z N AW,B AH T AY AO AH V P K R AO S OY R EY N IH NG P R IH Z M N Z N AW,B AH T AY K M AH K R AO S T R EY N IH NG P R IH Z AH N Z N AW,B AH T AY K M AH K R AO S T N IH NG P R IH Z AH N Z N AW,B AH T AY K AH M AH K AO S T N IH NG P R IH Z N Z AW,B AH T AY K AH M AH K R AO S T R EY N IH NG AW P R IH Z AH N Z N AW,B K AH T AY K AH AH M AH K R AO S T R EY N IH NG UW P R IH Z AH N Z N AW,B AH T AY UW K AH L M OY AH K R AO S OY T R EY N IH NG P R IH Z AO AH N Z N AW
REGARDING ONE OF BRITAIN'S MOST NOTED,R AH G AA R D IH NG W AH N AH V B R IH T AH N EH S M OW S T N OW T AH D,R AH TH AA R D IH NG W AH N AH V B R IH T AH N EH S M OW AO T N OW T AH D,R UH G AA R D IH NG W AH N AH V B R DH T AH UW EH S M OW S T N OW T AH D,R Y G AA R D OW NG W AH N AH ' AA Z IH T AH N EH S M OW S T N OW T T D,R AH G AA R D IH NG W AH N AH B IH T AH N EH S M OW S T N OW T AH D,AH G AA R D IH NG W AH N AH V B R IH T AH N EH S M OW T N OW T D,R AH G AA R D IH NG W AH N AH V B R T N EH S T OW T AH D,R AH AO G AA R D IH NG W AH N AH V B R IH T AH N EH S M OW T S T N OW T AH D,R DH AH G AA R D IH NG W AH N AH V B R UH IH T AH TH N EH S M OW S T N OW T AH D,R ' AH G AA R D SH IH NG W AH N AH NG V W B AA R IH T AH N EH S M OW S T N OW T Y AH D
HE MOVED AROUND A LOT,HH IY M UW V D ER AW N D AH L AA T,HH IY M UW V D ER AW N D AH L V T,UH IY M UW V D ER AW N D AH L AA T,HH IY M UW UW P V AW N D AH L AA T,HH IY M UW D ER AW N D AH L AA T,HH IY M UW V D ER AW N D AH AA T,HH IY D ER AW N D AH L AA T,HH IY M UW V D ER AW N D AH L UW AA T,TH HH IY M UW V D ER AW N D AH L AA T,HH IY M UW UW V UW D OY ER AW N D AH L AA T
DON'T FORGET THAT SCARECROW,D UW EH N T AY F ER G EH T DH AE T S K AE R K R OW,D UW EH N CH AY F ER G EH T DH AE T S K AE R K R OW,D UW AO N T ZH F ER G EH T DH AE T S K AE R K R OW,D UW EH N T AY F R G EH T DH AE T S TH AE R K IH AA,D UW EH N T AY F ER G EH T DH AE T S K AE R K R,D UW EH N T AY F ER EH T DH AE T S K R K R OW,D EH N T AY ER G EH T DH AE T S K AE R OW,D UW EH N CH T AY F ER G EH T DH AE T S K AE R K R OW,D UW Z EH N T AO AY F ER G EH T DH AE T S K AE R K R OW,D UW EH N T AY F AA ER G EH T DH AE T S T K AE R K P R IH OW
I'M NOT SATISFIED,AY AH M N AA T S AE T AH S F AY D,AY AH M N AA T S AE T AH T F AY D,AY HH M N AA T S AE T AH S F AY D,AY AH M N AA DH OW AE T AH SH F AY D,AY AH M N AA T S AE T AH S AY D,AY AH M N AA T S AE T AH S F D,AH M N AA S AE T AH S AY D,AY AH M N AA T S AE T AH SH S F AY D,AY G AH M N AA T S AE T AH S F AY D,AY AH M N AA S T DH S AE T AH OW S F AY D
YOU BETTER STAY WELL AWAY FROM ME,Y UW B EH T ER S T EY W EH L AH W EY F R AH M M IY,Y UW B EH T ER S T EY W EH L AH W EY F R EH M M IY,Y UW B HH T ER S T EY W EH L Y W EY F R AH M M IY,AA UW B EH OW ER S T EY W EH L AH W EY F R Y M Z IY,Y UW B EH T ER S T EY W EH L AH W EY F R M M IY,Y UW B EH T S T EY W EH L AH W EY F AH M M IY,Y B EH T ER S T EY W EH L AH W EY R AH M,Y UW B EH T ER S T EY W EH L AH W EY F R DH AH M M IY,Y UW B G EH T ER S T EY W EH L W AH W EY F R AH M M IY,AA Y UW B EH W T ER S T EY W EH L AH W EY F R Y AH M OW M IY
